inst,pin,x,y,dist_left,dist_right,dist_bottom,dist_top
_09712_,A,315.50003,266.8854,315.5000305175781,556.4999694824219,266.8854064941406,600.3020935058594
_07807_,B,317.4167,273.8229,317.41668701171875,554.5833129882812,273.8229064941406,593.3645935058594
_07806_,Y,315.95837,280.94168,315.9583740234375,556.0416259765625,280.9416809082031,586.2458190917969
_12074_,B1,330.43753,696.5938,330.4375305175781,541.5624694824219,696.5938110351562,170.59368896484375
_09653_,C,293.9792,273.40625,293.97918701171875,578.0208129882812,273.40625,593.78125
_09621_,B,301.56253,294.21875,301.5625305175781,570.4374694824219,294.21875,572.96875
_09205_,B,329.58337,349.71878,329.5833740234375,542.4166259765625,349.7187805175781,517.4687194824219
_07808_,B,299.9167,668.8438,299.91668701171875,572.0833129882812,668.8438110351562,198.34368896484375
_07807_,X,309.55212,274.125,309.5521240234375,562.4478759765625,274.125,593.0625
place202,A,345.07712,551.42706,345.0771179199219,526.9228820800781,551.4270629882812,315.76043701171875
_09243_,A1,383.72296,766.3855,383.72296142578125,488.27703857421875,766.385498046875,100.802001953125
_09313_,B,329.39587,766.3334,329.3958740234375,542.6041259765625,766.3333740234375,100.8541259765625
_09314_,A1,336.61877,766.3855,336.6187744140625,535.3812255859375,766.385498046875,100.802001953125
_12008_,B,282.5625,613.3438,282.5625,589.4375,613.3438110351562,253.84368896484375
_09202_,B,374.39587,731.6459,374.3958740234375,497.6041259765625,731.6458740234375,135.5416259765625
_09259_,A2,384.1917,774.4271,384.19171142578125,487.80828857421875,774.4271240234375,92.7603759765625
_09295_,B,317.39587,676.1459,317.3958740234375,554.6041259765625,676.1458740234375,191.0416259765625
_09296_,A1,326.6042,676.3021,326.60418701171875,545.3958129882812,676.3021240234375,190.8853759765625
_09203_,A1,381.72296,731.698,381.72296142578125,490.27703857421875,731.697998046875,135.489501953125
_09242_,B,388.39587,766.3334,388.3958740234375,483.6041259765625,766.3333740234375,100.8541259765625
_11834_,A,298.43753,668.8438,298.4375305175781,573.5624694824219,668.8438110351562,198.34368896484375
_12458_,A,274.4375,509.28128,274.4375,597.5625,509.2812805175781,357.9062194824219
_07808_,X,303.4417,669.4688,303.44171142578125,568.5582885742188,669.4688110351562,197.71868896484375
_07829_,A1,364.70837,280.34375,364.7083740234375,507.2916259765625,280.34375,586.84375
_09647_,A1,336.02087,121.14584,336.0208740234375,535.9791259765625,121.14584350585938,746.0416564941406
_11840_,A2,375.00003,703.5313,375.0000305175781,496.9999694824219,703.5313110351562,163.65618896484375
_11859_,A2,316.00003,648.0313,316.0000305175781,555.9999694824219,648.0313110351562,219.15618896484375
_11930_,A1,362.72296,579.07294,362.72296142578125,509.27703857421875,579.0729370117188,288.11456298828125
_12024_,A1,374.72296,461.13544,374.72296142578125,497.27703857421875,461.13543701171875,406.05206298828125
_12030_,C1,363.43753,446.84378,363.4375305175781,508.5624694824219,446.8437805175781,420.3437194824219
_12050_,A1,359.5417,391.34378,359.54168701171875,512.4583129882812,391.3437805175781,475.8437194824219
_12075_,B1,333.43753,710.4688,333.4375305175781,538.5624694824219,710.4688110351562,156.71868896484375
_12086_,A2,387.56253,717.4063,387.5625305175781,484.4374694824219,717.4063110351562,149.78118896484375
_09714_,A,374.6042,710.8334,374.60418701171875,497.39581298828125,710.8333740234375,156.3541259765625
_09644_,A1,308.70837,113.84376,308.7083740234375,563.2916259765625,113.84375762939453,753.3437423706055
_09620_,A1_N,320.56253,162.72919,320.5625305175781,551.4374694824219,162.72918701171875,704.4583129882812
_09611_,B1,336.43753,114.20834,336.4375305175781,535.5624694824219,114.20834350585938,752.9791564941406
_09599_,A1,324.43753,121.14584,324.4375305175781,547.5624694824219,121.14584350585938,746.0416564941406
_09588_,A1,338.02087,141.95833,338.0208740234375,533.9791259765625,141.9583282470703,725.2291717529297
_09558_,A1,325.43753,225.20834,325.4375305175781,546.5624694824219,225.20834350585938,641.9791564941406
_09544_,A1,318.02087,183.58334,318.0208740234375,553.9791259765625,183.58334350585938,683.6041564941406
_07809_,Y,331.96252,149.15625,331.9625244140625,540.0374755859375,149.15625,718.03125
place226,A,285.0771,169.8646,285.07708740234375,586.9229125976562,169.86459350585938,697.3229064941406
_07812_,Y,283.54166,183.84377,283.5416564941406,588.4583435058594,183.84376525878906,683.3437347412109
_11797_,B,286.25,121.02084,286.25,585.75,121.02084350585938,746.1666564941406
_11796_,A,295.6042,114.20834,295.60418701171875,576.3958129882812,114.20834350585938,752.9791564941406
_11793_,S,277.39584,114.26042,277.3958435058594,594.6041564941406,114.26042175292969,752.9270782470703
_11657_,A,272.5,155.88544,272.5,599.5,155.88543701171875,711.3020629882812
_11652_,A,270.5,107.32292,270.5,601.5,107.32292175292969,759.8645782470703
_11606_,B,275.5625,127.71876,275.5625,596.4375,127.71875762939453,739.4687423706055
_07814_,B,288.39584,128.08334,288.3958435058594,583.6041564941406,128.08334350585938,739.1041564941406
_07813_,Y,297.54166,190.78127,297.5416564941406,574.4583435058594,190.78126525878906,676.4062347412109
_11801_,A2,284.0,128.13542,284.0,588.0,128.1354217529297,739.0520782470703
_07820_,A1,289.5625,142.01042,289.5625,582.4375,142.0104217529297,725.1770782470703
_07814_,Y,287.95834,128.34377,287.9583435058594,584.0416564941406,128.34376525878906,738.8437347412109
_13649_,A1,220.72293,148.94792,220.72293090820312,651.2770690917969,148.9479217529297,718.2395782470703
_11798_,C1,293.45834,113.84376,293.4583435058594,578.5416564941406,113.84375762939453,753.3437423706055
_11720_,A1,246.72293,51.82292,246.72293090820312,625.2770690917969,51.82292175292969,815.3645782470703
_11663_,A2,238.76044,108.47917,238.76043701171875,633.2395629882812,108.47917175292969,758.7083282470703
_11659_,C,276.97916,155.46877,276.9791564941406,595.0208435058594,155.46876525878906,711.7187347412109
_11658_,C_N,256.31253,155.46877,256.3125305175781,615.6874694824219,155.46876525878906,711.7187347412109
_07820_,A2,291.0,142.01042,291.0,581.0,142.0104217529297,725.1770782470703
_07817_,Y,259.95834,86.71876,259.9583435058594,612.0416564941406,86.71875762939453,780.4687423706055
place213,A,298.07712,169.8646,298.0771179199219,573.9228820800781,169.86459350585938,697.3229064941406
_07818_,Y,324.28546,287.90625,324.28546142578125,547.7145385742188,287.90625,579.28125
_07820_,B1,288.4375,142.01042,288.4375,583.5625,142.0104217529297,725.1770782470703
_07819_,Y,288.1354,156.09377,288.1354064941406,583.8645935058594,156.09376525878906,711.0937347412109
_07823_,A2,285.84375,150.05208,285.84375,586.15625,150.0520782470703,717.1354217529297
_07820_,Y,288.2646,141.9625,288.26458740234375,583.7354125976562,141.96249389648438,725.2250061035156
_12416_,B1,266.58334,148.53125,266.5833435058594,605.4166564941406,148.53125,718.65625
_11789_,B1,269.5625,142.09375,269.5625,602.4375,142.09375,725.09375
_11656_,B2,273.65625,135.07292,273.65625,598.34375,135.0729217529297,732.1145782470703
_11608_,B2,278.3854,135.07292,278.3854064941406,593.6145935058594,135.0729217529297,732.1145782470703
_07823_,B1,287.33334,147.84375,287.3333435058594,584.6666564941406,147.84375,719.34375
_07821_,Y,281.9625,149.15625,281.9624938964844,590.0375061035156,149.15625,718.03125
_07823_,C1,288.45834,148.53125,288.4583435058594,583.5416564941406,148.53125,718.65625
_07822_,Y,295.05624,149.25,295.0562438964844,576.9437561035156,149.25,717.9375
_11828_,A_N,285.97916,162.77084,285.9791564941406,586.0208435058594,162.77084350585938,704.4166564941406
_07825_,A1,303.72296,162.82294,303.72296142578125,568.2770385742188,162.82293701171875,704.3645629882812
_07823_,Y,288.05624,149.25,288.0562438964844,583.9437561035156,149.25,717.9375
_12403_,B,270.5625,99.96876,270.5625,601.4375,99.96875762939453,767.2187423706055
_11839_,B,300.58337,155.46877,300.5833740234375,571.4166259765625,155.46876525878906,711.7187347412109
_07825_,A2,302.56253,162.40627,302.5625305175781,569.4374694824219,162.40626525878906,704.7812347412109
_07824_,X,301.4417,72.84375,301.44171142578125,570.5582885742188,72.84375,794.34375
_07829_,A2,366.56253,280.7604,366.5625305175781,505.4374694824219,280.7604064941406,586.4270935058594
_07825_,Y,304.84796,163.03127,304.84796142578125,567.1520385742188,163.03126525878906,704.1562347412109
_07832_,A4,527.4375,266.8854,527.4375,344.5625,266.8854064941406,600.3020935058594
_07831_,Y,520.7125,267.09375,520.7125244140625,351.2874755859375,267.09375,600.09375
_08369_,C,513.4167,183.63544,513.4166870117188,358.58331298828125,183.63543701171875,683.5520629882812
_08228_,B,507.55212,183.9896,507.5521240234375,364.4478759765625,183.98959350585938,683.1979064941406
_07833_,C,520.5834,169.48335,520.5833740234375,351.4166259765625,169.4833526611328,697.7041473388672
_07832_,Y,528.4729,267.09375,528.472900390625,343.527099609375,267.09375,600.09375
_10093_,B,523.5625,682.7188,523.5625,348.4375,682.7188110351562,184.46868896484375
_10506_,A1,670.72296,523.57294,670.7229614257812,201.27703857421875,523.5729370117188,343.61456298828125
_10637_,A1,656.72296,357.07294,656.7229614257812,215.27703857421875,357.07293701171875,510.11456298828125
_10644_,A1,629.72296,357.07294,629.7229614257812,242.27703857421875,357.07293701171875,510.11456298828125
_10747_,A1,678.72296,280.7604,678.7229614257812,193.27703857421875,280.7604064941406,586.4270935058594
_10834_,A1,693.72296,211.38544,693.7229614257812,178.27703857421875,211.38543701171875,655.8020629882812
_10948_,A1,659.72296,169.76044,659.7229614257812,212.27703857421875,169.76043701171875,697.4270629882812
_10967_,A1,650.72296,169.76044,650.7229614257812,221.27703857421875,169.76043701171875,697.4270629882812
_11044_,A1,633.72296,641.5105,633.7229614257812,238.27703857421875,641.510498046875,225.677001953125
_11071_,A1,704.56256,627.6355,704.5625610351562,167.43743896484375,627.635498046875,239.552001953125
_10463_,B,560.275,585.9583,560.2750244140625,311.7249755859375,585.9583129882812,281.22918701171875
_10456_,A2,540.1604,661.9063,540.160400390625,331.839599609375,661.9063110351562,205.28118896484375
_10039_,B,625.56256,342.78128,625.5625610351562,246.43743896484375,342.7812805175781,524.4062194824219
_09958_,C,550.6458,412.15628,550.6458129882812,321.35418701171875,412.1562805175781,455.0312194824219
_08660_,A2,569.5625,370.94794,569.5625,302.4375,370.94793701171875,496.23956298828125
_08639_,C,536.4375,343.14587,536.4375,335.5625,343.1458740234375,524.0416259765625
_08533_,A2,548.4375,503.9167,548.4375,323.5625,503.91668701171875,363.27081298828125
_08359_,B,561.5,627.2188,561.5,310.5,627.2188110351562,239.96868896484375
_07835_,A2,553.4583,218.32294,553.4583129882812,318.54168701171875,218.32293701171875,648.8645629882812
_07833_,X,524.4792,169.9896,524.4791870117188,347.52081298828125,169.98959350585938,697.1979064941406
place210,A,556.0771,426.55212,556.0770874023438,315.92291259765625,426.5521240234375,440.6353759765625
_07861_,A1,554.7083,287.28125,554.7083129882812,317.29168701171875,287.28125,579.90625
_08570_,B1,557.4375,440.44794,557.4375,314.5625,440.44793701171875,426.73956298828125
_08689_,A1,562.4375,308.51044,562.4375,309.5625,308.51043701171875,558.6770629882812
_08849_,A1,549.4375,183.58334,549.4375,322.5625,183.58334350585938,683.6041564941406
_08661_,B1,558.4375,378.01044,558.4375,313.5625,378.01043701171875,489.17706298828125
_07835_,Y,555.0208,218.91043,555.0208129882812,316.97918701171875,218.91043090820312,648.2770690917969
_09955_,B,546.9167,280.34375,546.9166870117188,325.08331298828125,280.34375,586.84375
_09932_,B,561.4583,273.8229,561.4583129882812,310.54168701171875,273.8229064941406,593.3645935058594
_09676_,B,533.5,99.96876,533.5,338.5,99.96875762939453,767.2187423706055
_07839_,B_N,559.44794,107.46876,559.4479370117188,312.55206298828125,107.46875762939453,759.7187423706055
_07838_,Y,522.0979,100.59376,522.097900390625,349.902099609375,100.59375762939453,766.5937423706055
load_slew264,A,579.6188,114.26042,579.6187744140625,292.3812255859375,114.26042175292969,752.9270782470703
_11527_,A,747.43756,93.03126,747.4375610351562,124.56243896484375,93.03125762939453,774.1562423706055
_11385_,B1,749.3959,176.28127,749.3958740234375,122.6041259765625,176.28126525878906,690.9062347412109
_07839_,Y,562.9167,107.27501,562.9166870117188,309.08331298828125,107.27500915527344,759.9124908447266
_07842_,A4,511.5417,280.7604,511.54168701171875,360.45831298828125,280.7604064941406,586.4270935058594
_07841_,X,508.4417,280.96875,508.44171142578125,363.55828857421875,280.96875,586.21875
_07843_,B,510.55212,267.2396,510.5521240234375,361.4478759765625,267.2395935058594,599.9479064941406
_07842_,Y,510.34378,280.96875,510.3437805175781,361.6562194824219,280.96875,586.21875
_10422_,B,586.3958,245.15001,586.3958129882812,285.60418701171875,245.15000915527344,622.0374908447266
_09934_,B,584.25,252.83334,584.25,287.75,252.83334350585938,614.3541564941406
_09913_,A,592.50006,259.9479,592.5000610351562,279.49993896484375,259.9479064941406,607.2395935058594
_09855_,C_N,580.3125,266.46875,580.3125,291.6875,266.46875,600.71875
_09854_,B1,579.0208,252.59377,579.0208129882812,292.97918701171875,252.59376525878906,614.5937347412109
_08157_,A2,472.15628,260.04584,472.1562805175781,399.8437194824219,260.04583740234375,607.1416625976562
_07854_,A2,563.5625,259.9479,563.5625,308.4375,259.9479064941406,607.2395935058594
_07852_,B,562.3958,266.83334,562.3958129882812,309.60418701171875,266.8333435058594,600.3541564941406
_07851_,A1,574.36456,259.9479,574.3645629882812,297.63543701171875,259.9479064941406,607.2395935058594
_07850_,A3,573.6042,266.46875,573.6041870117188,298.39581298828125,266.46875,600.71875
_07843_,Y,512.5417,267.09375,512.5416870117188,359.45831298828125,267.09375,600.09375
_09762_,C,559.4167,239.13544,559.4166870117188,312.58331298828125,239.13543701171875,628.0520629882812
_07849_,B,559.55206,246.4271,559.5520629882812,312.44793701171875,246.42709350585938,620.7604064941406
_07845_,B,558.30206,253.01044,558.3020629882812,313.69793701171875,253.01043701171875,614.1770629882812
_07844_,Y,557.8479,294.84375,557.847900390625,314.152099609375,294.84375,572.34375
_09912_,B,585.5625,266.46875,585.5625,286.4375,266.46875,600.71875
_09854_,A3,574.6042,252.59377,574.6041870117188,297.39581298828125,252.59376525878906,614.5937347412109
_07851_,A2,575.4583,259.9479,575.4583129882812,296.54168701171875,259.9479064941406,607.2395935058594
_07845_,X,560.5417,253.28543,560.5416870117188,311.45831298828125,253.28543090820312,613.9020690917969
_10437_,B,606.75006,259.53125,606.7500610351562,265.24993896484375,259.53125,607.65625
_10423_,A1,586.5417,259.53125,586.5416870117188,285.45831298828125,259.53125,607.65625
_10422_,D,588.625,246.07294,588.625,283.375,246.07293701171875,621.1145629882812
_10421_,A,622.5209,266.8854,622.5208740234375,249.4791259765625,266.8854064941406,600.3020935058594
_09936_,B,598.2396,259.9479,598.2396240234375,273.7603759765625,259.9479064941406,607.2395935058594
_09919_,A,621.25006,244.75002,621.2500610351562,250.74993896484375,244.75001525878906,622.4374847412109
_09861_,A,576.48334,204.27084,576.4833374023438,295.51666259765625,204.27084350585938,662.9166564941406
_07851_,A3,576.5833,259.9479,576.5833129882812,295.41668701171875,259.9479064941406,607.2395935058594
_07848_,X,582.53125,224.60419,582.53125,289.46875,224.60418701171875,642.5833129882812
_10422_,C,587.5208,245.13544,587.5208129882812,284.47918701171875,245.13543701171875,622.0520629882812
_09934_,C,585.4375,253.1146,585.4375,286.5625,253.11459350585938,614.0729064941406
_09933_,B,583.3958,246.02084,583.3958129882812,288.60418701171875,246.02084350585938,621.1666564941406
_09922_,B,584.55206,239.4896,584.5520629882812,287.44793701171875,239.48959350585938,627.6979064941406
_09855_,B,582.5833,266.8854,582.5833129882812,289.41668701171875,266.8854064941406,600.3020935058594
_08141_,A2,524.5625,238.71877,524.5625,347.4375,238.71876525878906,628.4687347412109
_07854_,B1,565.0,259.9479,565.0,307.0,259.9479064941406,607.2395935058594
_07850_,B1,578.0208,266.46875,578.0208129882812,293.97918701171875,266.46875,600.71875
_07849_,Y,561.5417,246.28127,561.5416870117188,310.45831298828125,246.28126525878906,620.9062347412109
_07851_,B1,579.44165,259.77084,579.441650390625,292.558349609375,259.7708435058594,607.4166564941406
_07850_,Y,576.5208,267.09375,576.5208129882812,295.47918701171875,267.09375,600.09375
_07856_,A2,570.5625,266.8854,570.5625,301.4375,266.8854064941406,600.3020935058594
_07851_,X,572.67084,260.15625,572.6708374023438,299.32916259765625,260.15625,607.03125
_07855_,A1,569.5625,259.9479,569.5625,302.4375,259.9479064941406,607.2395935058594
_07852_,Y,561.9583,267.09375,561.9583129882812,310.04168701171875,267.09375,600.09375
_09913_,B,592.5521,260.3021,592.5521240234375,279.4478759765625,260.3020935058594,606.8854064941406
_09855_,A,581.3958,266.8854,581.3958129882812,290.60418701171875,266.8854064941406,600.3020935058594
_07855_,A2,571.0,259.9479,571.0,301.0,259.9479064941406,607.2395935058594
_07853_,Y,566.13544,267.09375,566.1354370117188,305.86456298828125,267.09375,600.09375
_07855_,B1,568.4375,259.9479,568.4375,303.5625,259.9479064941406,607.2395935058594
_07854_,Y,564.13544,260.15625,564.1354370117188,307.86456298828125,260.15625,607.03125
_07856_,B1,572.0,266.8854,572.0,300.0,266.8854064941406,600.3020935058594
_07855_,Y,568.2646,259.9,568.2645874023438,303.73541259765625,259.8999938964844,607.2875061035156
_09943_,B2,568.3958,287.28125,568.3958129882812,303.60418701171875,287.28125,579.90625
_07857_,A2,571.5625,287.28125,571.5625,300.4375,287.28125,579.90625
_07856_,Y,571.13544,267.09375,571.1354370117188,300.86456298828125,267.09375,600.09375
_07861_,A2,556.5625,287.6979,556.5625,315.4375,287.6979064941406,579.4895935058594
_07857_,Y,573.8479,287.90625,573.847900390625,298.152099609375,287.90625,579.28125
_07995_,A1,449.43753,468.21878,449.4375305175781,422.5624694824219,468.2187805175781,398.9687194824219
_07967_,A1,453.43753,523.57294,453.4375305175781,418.5624694824219,523.5729370117188,343.61456298828125
_07923_,A1,463.72296,572.13544,463.72296142578125,408.27703857421875,572.1354370117188,295.05206298828125
_07921_,A1,459.72296,565.19794,459.72296142578125,412.27703857421875,565.1979370117188,301.98956298828125
_07864_,A,455.43753,558.26044,455.4375305175781,416.5624694824219,558.2604370117188,308.92706298828125
_07862_,Y,460.4792,391.96878,460.47918701171875,411.52081298828125,391.9687805175781,475.2187194824219
_07995_,A2,448.30212,468.07294,448.3021240234375,423.6978759765625,468.07293701171875,399.11456298828125
_07967_,A2,452.3542,523.57294,452.35418701171875,419.64581298828125,523.5729370117188,343.61456298828125
_07923_,A2,462.56253,571.71875,462.5625305175781,409.4374694824219,571.71875,295.46875
_07921_,A2,458.56253,564.78125,458.5625305175781,413.4374694824219,564.78125,302.40625
_07864_,B,454.00003,558.26044,454.0000305175781,417.9999694824219,558.2604370117188,308.92706298828125
_07863_,Y,446.4792,385.03128,446.47918701171875,425.52081298828125,385.0312805175781,482.1562194824219
place225,A,474.65628,509.69794,474.6562805175781,397.3437194824219,509.69793701171875,357.48956298828125
_08874_,A2_N,408.77502,654.8021,408.7750244140625,463.2249755859375,654.8021240234375,212.3853759765625
_08886_,A1,416.56253,634.1563,416.5625305175781,455.4374694824219,634.1563110351562,233.03118896484375
_07952_,A,464.43753,543.96875,464.4375305175781,407.5624694824219,543.96875,323.21875
_08863_,A2,426.56253,668.8438,426.5625305175781,445.4374694824219,668.8438110351562,198.34368896484375
_08989_,A,368.6042,343.14587,368.60418701171875,503.39581298828125,343.1458740234375,524.0416259765625
_08990_,A2,363.3542,343.19794,363.35418701171875,508.64581298828125,343.19793701171875,523.9895629882812
_09008_,A2,363.56253,321.96878,363.5625305175781,508.4374694824219,321.9687805175781,545.2187194824219
_07915_,A1,467.72296,613.7605,467.72296142578125,404.27703857421875,613.760498046875,253.427001953125
_10551_,A1,476.5417,648.0313,476.54168701171875,395.45831298828125,648.0313110351562,219.15618896484375
_07880_,A2,471.56253,655.3855,471.5625305175781,400.4374694824219,655.385498046875,211.802001953125
_08862_,A,432.6042,669.2084,432.60418701171875,439.39581298828125,669.2083740234375,197.9791259765625
_08885_,B,427.56253,627.2188,427.5625305175781,444.4374694824219,627.2188110351562,239.96868896484375
_08942_,A,386.48337,537.2708,386.4833679199219,485.5166320800781,537.2708129882812,329.91668701171875
_08943_,B,392.56253,543.96875,392.5625305175781,479.4374694824219,543.96875,323.21875
_08996_,A,388.6042,336.20837,388.60418701171875,483.39581298828125,336.2083740234375,530.9791259765625
_08997_,A2,384.56253,335.84378,384.5625305175781,487.4374694824219,335.8437805175781,531.3437194824219
_08385_,S,463.70212,669.16046,463.7021179199219,408.2978820800781,669.1604614257812,198.02703857421875
_08898_,A2,399.56253,613.3438,399.5625305175781,472.4374694824219,613.3438110351562,253.84368896484375
_08924_,A,411.6042,551.2708,411.60418701171875,460.39581298828125,551.2708129882812,315.91668701171875
_08925_,A2,407.56253,550.90625,407.5625305175781,464.4374694824219,550.90625,316.28125
_08982_,B1,411.51462,321.9792,411.5146179199219,460.4853820800781,321.97918701171875,545.2083129882812
_08983_,A2,407.56253,328.90628,407.5625305175781,464.4374694824219,328.9062805175781,538.2812194824219
_09489_,B,367.56253,335.84378,367.5625305175781,504.4374694824219,335.8437805175781,531.3437194824219
_08897_,A,401.48337,606.6459,401.4833679199219,470.5166320800781,606.6458740234375,260.5416259765625
_08931_,A,394.6042,516.5833,394.60418701171875,477.39581298828125,516.5833129882812,350.60418701171875
_08932_,A2,390.56253,516.21875,390.5625305175781,481.4374694824219,516.21875,350.96875
_07867_,S,433.70212,662.22296,433.7021179199219,438.2978820800781,662.2229614257812,204.96453857421875
_10453_,C,467.43753,655.3334,467.4375305175781,404.5624694824219,655.3333740234375,211.8541259765625
_10454_,A1,469.06253,646.1501,469.0625305175781,402.9374694824219,646.1500854492188,221.03741455078125
_10550_,C,463.43753,648.3959,463.4375305175781,408.5624694824219,648.3958740234375,218.7916259765625
_10552_,A3,468.56253,663.0938,468.5625305175781,403.4374694824219,663.0938110351562,204.09368896484375
_07914_,S,466.39587,606.823,466.3958740234375,405.6041259765625,606.822998046875,260.364501953125
_07930_,A2,461.56253,579.07294,461.5625305175781,410.4374694824219,579.0729370117188,288.11456298828125
_08480_,A1,473.43753,544.38544,473.4375305175781,398.5624694824219,544.3854370117188,322.80206298828125
_07864_,Y,454.96252,558.7229,454.9625244140625,417.0374755859375,558.722900390625,308.464599609375
_10553_,A,474.43753,661.9063,474.4375305175781,397.5624694824219,661.9063110351562,205.28118896484375
_08380_,B,488.56253,668.8438,488.5625305175781,383.4374694824219,668.8438110351562,198.34368896484375
_07870_,A2,481.56253,654.9688,481.5625305175781,390.4374694824219,654.9688110351562,212.21868896484375
_07867_,Y,438.95837,662.6459,438.9583740234375,433.0416259765625,662.6458740234375,204.5416259765625
_07870_,B1,484.51462,654.97925,484.5146179199219,387.4853820800781,654.979248046875,212.208251953125
_07869_,Y,486.95837,655.5938,486.9583740234375,385.0416259765625,655.5938110351562,211.59368896484375
_08089_,A1,446.56253,377.83337,446.5625305175781,425.4374694824219,377.8333740234375,489.3541259765625
_07966_,A1,464.43753,516.5833,464.4375305175781,407.5624694824219,516.5833129882812,350.60418701171875
_07929_,A1,456.02087,572.0833,456.0208740234375,415.9791259765625,572.0833129882812,295.10418701171875
_07883_,A,451.00003,627.2188,451.0000305175781,420.9999694824219,627.2188110351562,239.96868896484375
_07879_,A1,464.70837,641.0938,464.7083740234375,407.2916259765625,641.0938110351562,226.09368896484375
_07876_,Y,462.01044,385.03128,462.01043701171875,409.98956298828125,385.0312805175781,482.1562194824219
_08089_,A2,447.84378,378.98962,447.8437805175781,424.1562194824219,378.9896240234375,488.1978759765625
_07966_,A2,463.19794,516.7021,463.19793701171875,408.80206298828125,516.7020874023438,350.48541259765625
_07929_,A2,454.5417,572.13544,454.54168701171875,417.45831298828125,572.1354370117188,295.05206298828125
_07883_,B,456.50003,627.2188,456.5000305175781,415.4999694824219,627.2188110351562,239.96868896484375
_07879_,A2,466.56253,641.5105,466.5625305175781,405.4374694824219,641.510498046875,225.677001953125
_07877_,Y,452.01044,391.96878,452.01043701171875,419.98956298828125,391.9687805175781,475.2187194824219
_10454_,A2,468.61462,648.5521,468.6146240234375,403.3853759765625,648.5521240234375,218.6353759765625
_07879_,B1,468.00003,641.5105,468.0000305175781,403.9999694824219,641.510498046875,225.677001953125
_07878_,Y,458.5417,648.6563,458.54168701171875,413.45831298828125,648.6563110351562,218.53118896484375
_10552_,B1,465.58337,661.9063,465.5833740234375,406.4166259765625,661.9063110351562,205.28118896484375
_07880_,B1,473.00003,655.3855,473.0000305175781,398.9999694824219,655.385498046875,211.802001953125
_07879_,Y,467.13544,641.7188,467.13543701171875,404.86456298828125,641.7188110351562,225.46868896484375
_08375_,B,509.39587,655.3334,509.3958740234375,362.6041259765625,655.3333740234375,211.8541259765625
_07882_,A2,507.56253,641.5105,507.5625305175781,364.4374694824219,641.510498046875,225.677001953125
_07880_,Y,472.13544,655.5938,472.13543701171875,399.86456298828125,655.5938110351562,211.59368896484375
_07882_,B1,509.00003,641.5105,509.0000305175781,362.9999694824219,641.510498046875,225.677001953125
_07881_,Y,516.9625,641.7188,516.9625244140625,355.0374755859375,641.7188110351562,225.46868896484375
place224,A,415.65628,523.57294,415.6562805175781,456.3437194824219,523.5729370117188,343.61456298828125
_08856_,S,403.70212,683.03546,403.7021179199219,468.2978820800781,683.0354614257812,184.15203857421875
_08915_,S,416.39587,572.13544,416.3958740234375,455.6041259765625,572.1354370117188,295.05206298828125
_09219_,S,395.70212,683.03546,395.7021179199219,476.2978820800781,683.0354614257812,184.15203857421875
_07892_,B,460.56253,654.9688,460.5625305175781,411.4374694824219,654.9688110351562,212.21868896484375
_07893_,A1,475.70837,654.9688,475.7083740234375,396.2916259765625,654.9688110351562,212.21868896484375
_07941_,A1,476.43753,572.0833,476.4375305175781,395.5624694824219,572.0833129882812,295.10418701171875
_08873_,B1,412.00003,648.448,412.0000305175781,459.9999694824219,648.447998046875,218.739501953125
_08907_,S,394.70212,585.9104,394.7021179199219,477.2978820800781,585.910400390625,281.277099609375
_08892_,S,398.70212,620.59796,398.7021179199219,473.2978820800781,620.5979614257812,246.58953857421875
_07901_,B,467.56253,634.1563,467.5625305175781,404.4374694824219,634.1563110351562,233.03118896484375
_07902_,A1,474.43753,641.4584,474.4375305175781,397.5624694824219,641.4583740234375,225.7291259765625
_07940_,B,443.56253,585.59375,443.5625305175781,428.4374694824219,585.59375,281.59375
_10460_,A1,468.56253,579.0208,468.5625305175781,403.4374694824219,579.0208129882812,288.16668701171875
_07972_,B,469.56253,530.09375,469.5625305175781,402.4374694824219,530.09375,337.09375
_07953_,B,449.58337,544.1042,449.5833740234375,422.4166259765625,544.1041870117188,323.08331298828125
_07883_,Y,453.51462,627.57715,453.5146179199219,418.4853820800781,627.5771484375,239.6103515625
_07958_,A1,442.43753,613.7084,442.4375305175781,429.5624694824219,613.7083740234375,253.4791259765625
_07937_,A1,444.70837,613.3438,444.7083740234375,427.2916259765625,613.3438110351562,253.84368896484375
_07910_,A1,460.43753,620.6459,460.4375305175781,411.5624694824219,620.6458740234375,246.5416259765625
_07890_,A,447.6042,634.5209,447.60418701171875,424.39581298828125,634.5208740234375,232.6666259765625
_07888_,Y,456.80212,655.5938,456.8021240234375,415.1978759765625,655.5938110351562,211.59368896484375
_07890_,B,449.39587,634.5209,449.3958740234375,422.6041259765625,634.5208740234375,232.6666259765625
_07889_,Y,448.95837,648.6563,448.9583740234375,423.0416259765625,648.6563110351562,218.53118896484375
_07891_,B,460.55212,641.8646,460.5521240234375,411.4478759765625,641.8646240234375,225.3228759765625
_07890_,Y,448.95837,634.7813,448.9583740234375,423.0416259765625,634.7813110351562,232.40618896484375
_10551_,A2,475.37503,647.6459,475.3750305175781,396.6249694824219,647.6458740234375,219.5416259765625
_10454_,A3,467.58337,648.5521,467.5833740234375,404.4166259765625,648.5521240234375,218.6353759765625
