inst,pin,x,y,dist_left,dist_right,dist_bottom,dist_top
_07574_,C,499.72296,336.26044,499.72296142578125,372.27703857421875,336.26043701171875,530.9270629882812
_07569_,B,499.44794,461.20837,499.44793701171875,372.55206298828125,461.2083740234375,405.9791259765625
_07564_,A,514.3958,461.13544,514.3958129882812,357.60418701171875,461.13543701171875,406.05206298828125
_07561_,A,513.48334,474.83337,513.4833374023438,358.51666259765625,474.8333740234375,392.3541259765625
_07559_,A,503.9167,488.53546,503.91668701171875,368.08331298828125,488.53546142578125,378.65203857421875
_07501_,D,516.67706,336.26044,516.6770629882812,355.32293701171875,336.26043701171875,530.9270629882812
_07488_,B,518.44794,447.33337,518.4479370117188,353.55206298828125,447.3333740234375,419.8541259765625
P1.IR[11]$_DFF_PP0_,Q,494.06253,496.03128,494.0625305175781,377.9374694824219,496.0312805175781,371.1562194824219
_07574_,B,501.23962,336.26044,501.2396240234375,370.7603759765625,336.26043701171875,530.9270629882812
_07569_,A,500.61877,461.13544,500.6187744140625,371.3812255859375,461.13543701171875,406.05206298828125
_07566_,B,525.5625,453.78128,525.5625,346.4375,453.7812805175781,413.4062194824219
_07564_,D_N,513.3125,460.53128,513.3125,358.6875,460.5312805175781,406.6562194824219
_07563_,A_N,521.9792,461.08337,521.9791870117188,350.02081298828125,461.0833740234375,406.1041259765625
_07501_,C,515.5625,336.64587,515.5625,356.4375,336.6458740234375,530.5416259765625
_07488_,A,519.6188,447.26044,519.6187744140625,352.3812255859375,447.26043701171875,419.92706298828125
P1.IR[12]$_DFF_PP0_,Q,498.06253,454.40628,498.0625305175781,373.9374694824219,454.4062805175781,412.7812194824219
_07574_,A,502.43753,336.26044,502.4375305175781,369.5624694824219,336.26043701171875,530.9270629882812
_07571_,A,497.50003,447.26044,497.5000305175781,374.4999694824219,447.26043701171875,419.92706298828125
_07501_,B,514.38544,337.4167,514.3854370117188,357.61456298828125,337.41668701171875,529.7708129882812
_07486_,A,514.6188,440.32294,514.6187744140625,357.3812255859375,440.32293701171875,426.86456298828125
P1.IR[13]$_DFF_PP0_,Q,496.06253,426.65628,496.0625305175781,375.9374694824219,426.6562805175781,440.5312194824219
_07581_,C,509.43753,350.08337,509.4375305175781,362.5624694824219,350.0833740234375,517.1041259765625
_07577_,A2,509.76044,337.4167,509.76043701171875,362.23956298828125,337.41668701171875,529.7708129882812
_07575_,A1,511.56253,328.90628,511.5625305175781,360.4374694824219,328.9062805175781,538.2812194824219
_07573_,A,511.50003,419.51044,511.5000305175781,360.4999694824219,419.51043701171875,447.67706298828125
_07497_,D,510.80627,350.20837,510.8062744140625,361.1937255859375,350.2083740234375,516.9791259765625
_07491_,D,510.56253,340.96878,510.5625305175781,361.4374694824219,340.9687805175781,526.2187194824219
P1.IR[14]$_DFF_PP0_,Q,507.06253,412.78128,507.0625305175781,364.9374694824219,412.7812805175781,454.4062194824219
_07581_,B,508.27502,350.08337,508.2750244140625,363.7249755859375,350.0833740234375,517.1041259765625
_07577_,A1,511.29587,336.26044,511.2958679199219,360.7041320800781,336.26043701171875,530.9270629882812
_07576_,A,507.50003,329.32294,507.5000305175781,364.4999694824219,329.32293701171875,537.8645629882812
_07497_,C,512.3063,350.20837,512.3062744140625,359.6937255859375,350.2083740234375,516.9791259765625
_07491_,C,512.6042,343.39587,512.6041870117188,359.39581298828125,343.3958740234375,523.7916259765625
P1.IR[15]$_DFF_PP0_,Q,513.06256,398.90628,513.0625610351562,358.93743896484375,398.9062805175781,468.2812194824219
_07581_,A,506.48337,349.95837,506.4833679199219,365.5166320800781,349.9583740234375,517.2291259765625
_07578_,A,502.9167,342.84796,502.91668701171875,369.08331298828125,342.84796142578125,524.3395385742188
_07497_,B,513.44794,350.20837,513.4479370117188,358.55206298828125,350.2083740234375,516.9791259765625
_07491_,B,516.7709,342.18753,516.7708740234375,355.2291259765625,342.1875305175781,524.9999694824219
P1.IR[16]$_DFF_PP0_,Q,500.06253,343.40628,500.0625305175781,371.9374694824219,343.4062805175781,523.7812194824219
_07491_,A,517.0938,342.77087,517.0938110351562,354.90618896484375,342.7708740234375,524.4166259765625
_07497_,A,514.6188,350.13544,514.6187744140625,357.3812255859375,350.13543701171875,517.0520629882812
_07584_,A,507.9167,377.53546,507.91668701171875,364.08331298828125,377.53546142578125,489.65203857421875
_07588_,C,508.9792,370.53128,508.97918701171875,363.02081298828125,370.5312805175781,496.6562194824219
_07589_,A_N,502.75003,356.98962,502.7500305175781,369.2499694824219,356.9896240234375,510.1978759765625
_07590_,C,509.43753,363.95837,509.4375305175781,362.5624694824219,363.9583740234375,503.2291259765625
_07592_,C,517.4375,357.02087,517.4375,354.5625,357.0208740234375,510.1666259765625
P1.IR[17]$_DFF_PP0_,Q,513.06256,385.03128,513.0625610351562,358.93743896484375,385.0312805175781,482.1562194824219
_08103_,A,519.6042,343.14587,519.6041870117188,352.39581298828125,343.1458740234375,524.0416259765625
_07592_,B,516.275,357.02087,516.2750244140625,355.7249755859375,357.0208740234375,510.1666259765625
_07589_,B,506.00003,357.46878,506.0000305175781,365.9999694824219,357.4687805175781,509.7187194824219
_07586_,A,523.9167,328.97296,523.9166870117188,348.08331298828125,328.97296142578125,538.2145385742188
_07498_,B,525.275,322.33337,525.2750244140625,346.7249755859375,322.3333740234375,544.8541259765625
_07493_,B,515.3958,315.39587,515.3958129882812,356.60418701171875,315.3958740234375,551.7916259765625
